municipio,poblacion_2025,gyms_google,fitness_x10k,lat,lon,radius_m,gyms_sample_names,gyms_google_new,fitness_x10k_new,catchment_pop_25km,real_market_potential,dist_albacete_km,opportunity_score,catchment_gyms_25km,opportunity_score_v2,growth_5y,growth_10y,market_type,fitness_population,fitness_ratio
Salobre,442,49,1108.5972850678731,38.5928606,-2.5498208,4000,,0.0,0.0,6744,6744.0,74.6044165394621,6744.0,5.0,1124.0,-0.059574468085106386,-0.20216606498194944,Oportunidad latente,11660.0,26.380090497737555
San Pedro,1155,49,424.24242424242425,38.779652,-2.1646722,6000,Pabellón polideportivo,1.0,8.658008658008658,9794,4897.0,35.56380257819048,4897.0,9.0,979.4,-0.013663535439795047,-0.12234042553191489,Mercado competitivo,32264.0,27.934199134199133
Socovos,1643,5,30.432136335970785,38.3327757,-1.9844827,6000,Gimnasio Transforma-T; Pabellón de Socovos.,1.0,6.086427267194157,7813,3906.5,74.35654416052691,3906.5,8.0,868.1111111111111,-0.07592800899887514,-0.10316593886462883,Mercado débil,47728.0,29.049300060864272
Tarazona de la Mancha,6100,28,45.90163934426229,39.2651188,-1.912995,10000,C.d.escuadron del CARPFISHING; ESPECTÁCULOS PRIETO; GIMNASIO COLEGIO; NOVA Sports Gym; Pabellón Polideportivo de Tarazona de La Mancha.; Padel Tarazona; Polideportivo Descubierto; Snooker La Mancha 147,10.0,16.39344262295082,20812,1892.0,30.445595634035623,1892.0,22.0,904.8695652173913,-0.014061742363019233,-0.06770594528503744,Mercado competitivo,166452.0,27.2872131147541
Tobarra,8006,9,11.241568823382464,38.5909581,-1.6930787,10000,"Centro ""sport fitness""; Club Pádel Tobarra; Gimnasio Valero Sport; Pabellón Polideportivo de Tobarra.; Tobafitness",5.0,6.245316012990258,46681,7780.166666666667,47.13999783067911,7780.166666666667,26.0,1728.925925925926,0.03852639771695421,0.004138969020443998,Mercado emergente,201102.0,25.118910816887336
Valdeganga,1970,20,101.5228426395939,39.1358432,-1.6772838,6000,Pabellón Polideportivo Municipal de Valdeganga; Polideportivo Municipal,2.0,10.152284263959393,208108,69369.33333333333,22.286420619965515,61839.76563173044,110.0,1874.8468468468468,-0.010050251256281407,-0.01054746358613762,Mercado emergente,48474.0,24.606091370558374
Vianos,317,50,1577.2870662460566,38.5947041,-2.5098914,4000,,0.0,0.0,6744,6744.0,71.73417905157936,6744.0,5.0,1124.0,-0.0364741641337386,-0.15691489361702127,Oportunidad latente,9424.0,29.728706624605678
Villa de Ves,51,42,8235.294117647058,39.2226519,-1.2593206,4000,,0.0,0.0,9724,9724.0,57.72197366353948,9724.0,7.0,1215.5,-0.16393442622950818,-0.13559322033898305,Oportunidad latente,1322.0,25.92156862745098
Villalgordo del Júcar,1159,20,172.5625539257981,39.2964074,-2.0622166,6000,Polideportivo Municipal; Vértice10 Multiaventura,1.0,8.628127696289905,31965,15982.5,37.83281916401316,15982.5,35.0,887.9166666666666,0.05172413793103448,0.010462074978204011,Mercado competitivo,29384.0,25.352890422778255
Villamalea,4083,13,31.83933382316924,39.3628674,-1.5971834,6000,Area Sport; OMNIFIT - CENTRO DEPORTIVO; Pabellón Deportivo; Polideportivo de Villamalea,4.0,9.796718099436688,21426,4285.2,46.82477355751726,4285.2,18.0,1127.6842105263158,0.0031941031941031942,-0.005601558694593278,Mercado emergente,104910.0,25.694342395297575
Villapalacios,539,37,686.4564007421151,38.5756136,-2.6331952,4000,,0.0,0.0,5917,5917.0,81.59518851125709,5917.0,5.0,986.1666666666666,-0.07547169811320754,-0.14171974522292993,Mercado débil,15052.0,27.92578849721707
Villarrobledo,25400,32,12.598425196850393,39.2683154,-2.6015635,18000,Centro Deportivo Tiger; Club Polideportivo Villarrobledo.; Complejo Polideportivo Municipal “Barrio Asturias” de Villarrobledo; Complejo Polideportivo Municipal “Barrio Socuéllamos” de Villarrobledo; FRAILE GYM Reyes Católicos.; FRAILE Gym Octavio Cuartero.; GIMNASIO Sipchin.; Human Club SC,20.0,7.874015748031496,26781,1275.2857142857142,70.83072645915792,1275.2857142857142,21.0,1217.3181818181818,0.011307533046663482,-0.02266343452999346,Mercado emergente,248881.657,9.798490433070866
Villatoya,114,37,3245.6140350877195,39.3330544,-1.3390901,4000,La libélula.Centro de yoga y permacultura.,1.0,87.71929824561403,14434,7217.0,58.61958082494156,7217.0,13.0,1031.0,0.045871559633027525,-0.008695652173913044,Mercado competitivo,2970.0,26.05263157894737
Villavaliente,190,54,2842.1052631578946,39.1138831,-1.4724751,4000,,0.0,0.0,18329,18329.0,36.0171721021805,18329.0,16.0,1078.1764705882354,-0.13636363636363635,-0.20168067226890757,Oportunidad latente,5918.0,31.147368421052633
Villaverde de Guadalimar,325,23,707.6923076923076,38.4563278,-2.5183567,4000,,0.0,0.0,8474,8474.0,82.70236078868436,8474.0,9.0,847.4,0.0,-0.128686327077748,Mercado competitivo,9626.0,29.61846153846154
Viveros,293,65,2218.430034129693,38.7726567,-2.57553,4000,,0.0,0.0,7132,7132.0,66.64737035325638,7132.0,4.0,1426.4,-0.1094224924012158,-0.023333333333333334,Oportunidad latente,9066.0,30.9419795221843
Yeste,2471,8,32.375556454876566,38.3654376,-2.321546,6000,Anahata Yoga; Aventura Sierra del Segura; Centro de actividades Via Ferrata Yeste; Instalaciones Deportivas El Llano,3.0,12.140833670578711,7064,1766.0,80.59218853430379,1766.0,11.0,588.6666666666666,-0.05470543228768172,-0.1387242941791565,Mercado débil,68828.0,27.854309995953056
