municipio,query,place_id,name,types,lat,lon,distance_m,formattedAddress
"Roda, La","fitness en Roda, La",ChIJI0Z5Lg42Zg0R5QG6GA7bJMA,Gimnasio Esfera La Roda,association_or_organization;establishment;gym;health;point_of_interest;sports_activity_location;sports_club;sports_school,39.207096,-2.1577355,4187.603488404622,
"Roda, La","fitness en Roda, La",ChIJg0yCaRE2Zg0RLgS9c1aQZwc,Gimnasio Multi Gym,establishment;gym;health;point_of_interest;sports_activity_location,39.203013899999995,-2.1595222,3725.389623175551,
"Roda, La","fitness en Roda, La",ChIJxTdZ-OU3Zg0RtnWmaKxCNUg,OLYM FITNESS,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,39.2033189,-2.1612690999999997,3669.5417614519215,
"Roda, La","fitness en Roda, La",ChIJ_UvKjbo3Zg0RNYiy85lsyZ8,"Cratos Center La Roda, Fisioterapia & Pilates",establishment;gym;health;medical_clinic;point_of_interest;sports_activity_location;sports_complex;sports_school,39.2051714,-2.1596360999999997,3918.91655460852,
"Roda, La","fitness en Roda, La",ChIJU2Y-ZJ83Zg0RsyiHmaQmlzU,Hangar 21 Box,establishment;fitness_center;gym;health;point_of_interest;sports_activity_location,39.1929167,-2.1463221999999997,3801.0735351907674,
"Roda, La","fitness en Roda, La",ChIJkypi_hM2Zg0R4oV6ZBqNzs4,Clínica Salud y fitness La Roda,doctor;establishment;health;medical_clinic;point_of_interest;service,39.202249599999995,-2.1599356000000003,3635.403902150453,
"Roda, La","fitness en Roda, La",ChIJLwwmxxk2Zg0RfzM5XnhAXyo,Centro deportivo David Castro Fajardo,association_or_organization;establishment;point_of_interest;sports_club,39.2001865,-2.154045,3781.593094263908,
"Roda, La","fitness en Roda, La",ChIJ5dzZdBQ2Zg0R10mnO15VYLg,Jose Carlos Personal Trainer,establishment;health;point_of_interest;service,39.2018182,-2.1610279,3542.173853664227,
"Roda, La","centro deportivo en Roda, La",ChIJLwwmxxk2Zg0RfzM5XnhAXyo,Centro deportivo David Castro Fajardo,association_or_organization;establishment;point_of_interest;sports_club,39.2001865,-2.154045,3781.593094263908,
"Roda, La","centro deportivo en Roda, La",ChIJI0Z5Lg42Zg0R5QG6GA7bJMA,Gimnasio Esfera La Roda,association_or_organization;establishment;gym;health;point_of_interest;sports_activity_location;sports_club;sports_school,39.207096,-2.1577355,4187.603488404622,
"Roda, La","centro deportivo en Roda, La",ChIJg0yCaRE2Zg0RLgS9c1aQZwc,Gimnasio Multi Gym,establishment;gym;health;point_of_interest;sports_activity_location,39.203013899999995,-2.1595222,3725.389623175551,
"Roda, La","centro deportivo en Roda, La",ChIJecVV7B9KZg0RxEommeOVk3Q,Club Polideportivo y Social la Molineta,establishment;point_of_interest;sports_activity_location;sports_complex,39.2059522,-2.1430557,4905.116287604886,
"Roda, La","centro deportivo en Roda, La",ChIJFc90Shc2Zg0R2IUJwrxln14,Club Polideportivo la Roda,establishment;point_of_interest;sports_activity_location;sports_complex,39.2063525,-2.1584393,4085.225524298121,
"Roda, La","centro deportivo en Roda, La",ChIJm2JupwU2Zg0R_DsreiZLyzE,"Polideportivo ""Juan José Lozano Jareño""",establishment;point_of_interest;sports_activity_location;sports_complex,39.2102491,-2.1532248,4695.6550541499255,
"Roda, La","centro deportivo en Roda, La",ChIJaxlhGy03Zg0Rf4S88N9oND8,CRATOSFIT,establishment;gym;health;point_of_interest;sports_activity_location,39.2024247,-2.1612385,3587.8284794192837,
"Roda, La","centro deportivo en Roda, La",ChIJhyEzCwA3Zg0R8ziUFMo5hQc,Polideportivo Tomás Navarro Tomás,association_or_organization;establishment;point_of_interest;sports_club,39.2014695,-2.1540208,3887.462294413312,
"Roda, La","centro deportivo en Roda, La",ChIJC3DyKQ42Zg0RPC71nlbMJJs,Centro Deportivo,establishment;point_of_interest;sports_school,39.207104099999995,-2.1576958999999998,4190.2256388770165,
